MATNR;MAKTX;MTART;MENGE;MEINS;WERKS;BSTYP;BUDAT;BLDAT;DMBTR;WAERS;KOSTL
100001;Diesel Kraftstoff;ROH;4500;L;1100;NB;01.04.2026;28.03.2026;4725,00;EUR;CC-FLEET-01
100002;Benzin bleifrei;ROH;1200;L;1100;NB;01.04.2026;28.03.2026;1848,00;EUR;CC-FLEET-01
100003;Heizöl leicht;ROH;8000;L;1200;NB;02.04.2026;30.03.2026;7200,00;EUR;CC-BLDG-01
100004;Erdgas;ROH;25000;kWh;1200;NB;02.04.2026;30.03.2026;1750,00;EUR;CC-BLDG-01
100005;Hydrauliköl;ROH;200;L;1100;NB;03.04.2026;01.04.2026;640,00;EUR;CC-MNT-01
100006;Büromaterial;HAWA;150;ST;1100;NB;01.04.2026;28.03.2026;2250,00;EUR;CC-ADM-01
100007;IT Hardware;HAWA;10;ST;1100;NB;05.04.2026;02.04.2026;15000,00;EUR;CC-IT-01
100008;Schmierfett;ROH;50;KG;1300;NB;06.04.2026;03.04.2026;325,00;EUR;CC-MNT-02
100009;Kühlmittel;ROH;400;L;1300;NB;06.04.2026;03.04.2026;1200,00;EUR;CC-MNT-02
100010;Büromöbel;HAWA;25;ST;1100;NB;08.04.2026;05.04.2026;3750,00;EUR;CC-ADM-01
100011;Propan;ROH;3000;KG;1200;NB;10.04.2026;07.04.2026;2100,00;EUR;CC-BLDG-01
100012;Reinigungmittel;ROH;100;L;1200;NB;10.04.2026;07.04.2026;450,00;EUR;CC-MNT-01
100013;Büropapier;HAWA;500;ST;1100;NB;12.04.2026;09.04.2026;1250,00;EUR;CC-ADM-01
100014;Kabelmaterial;HAWA;30;ST;1300;NB;12.04.2026;09.04.2026;900,00;EUR;CC-IT-01
100015;Druckluftfilter;ROH;20;ST;1100;NB;15.04.2026;12.04.2026;340,00;EUR;CC-MNT-01
